date,value,fail_0,fail_1,succ_0,succ_1,dur_1,dur_2,dur_3,dur_5,dur_8,page_1,page_2,page_3,page_5,page_8
10/15/2020,82,6,94,4,96,0,1,0,3,96,0,0,2,5,93
10/16/2020,81,4,96,6,94,2,1,0,5,92,2,0,1,5,92
10/17/2020,82,4,96,6,94,1,1,0,3,95,1,0,0,2,97
10/18/2020,81,4,96,5,95,1,1,0,2,96,2,0,0,3,95
10/19/2020,87,6,94,7,93,1,0,1,4,94,0,0,0,2,98
10/20/2020,87,4,96,5,95,0,1,2,5,92,0,0,0,2,98
10/21/2020,83,6,94,7,93,2,1,0,3,94,1,0,0,5,94
10/22/2020,80,5,95,6,94,2,1,2,3,92,1,0,1,4,94
10/23/2020,88,7,93,7,93,0,0,1,2,97,2,1,2,2,93
10/24/2020,96,6,94,7,93,2,1,2,2,93,0,0,1,3,96
10/25/2020,92,6,94,7,93,1,0,0,5,94,0,1,2,5,92
10/26/2020,95,7,93,7,93,2,1,0,2,95,0,0,0,2,98
10/27/2020,96,7,93,7,93,0,1,2,4,93,2,0,0,5,93
10/28/2020,92,5,95,6,94,1,1,2,3,93,0,1,2,3,94
10/29/2020,82,7,93,4,96,2,1,2,4,91,0,1,1,4,94
10/30/2020,81,5,95,6,94,2,0,1,2,95,0,1,1,3,95
10/31/2020,96,6,94,5,95,2,0,2,3,93,2,0,1,4,93
11/1/2020,89,6,94,5,95,2,0,1,2,95,0,0,1,5,94
11/2/2020,93,6,94,6,94,2,0,1,2,95,0,0,0,4,96
11/3/2020,83,4,96,6,94,1,1,1,4,93,1,0,0,2,97
11/4/2020,81,5,95,6,94,1,0,0,5,94,1,1,2,5,91
11/5/2020,85,5,95,5,95,2,0,1,4,93,0,0,0,4,96
11/6/2020,85,5,95,4,96,0,0,1,2,97,0,0,2,4,94
11/7/2020,90,5,95,4,96,2,0,0,4,94,1,1,1,5,92
11/8/2020,96,5,95,5,95,1,0,1,5,93,1,0,1,4,94
11/9/2020,88,5,95,4,96,2,0,2,3,93,0,1,0,3,96
11/10/2020,93,4,96,5,95,0,1,1,4,94,1,1,0,5,93
11/11/2020,94,6,94,5,95,1,0,1,3,95,1,0,2,5,92
11/12/2020,80,4,96,5,95,2,0,0,3,95,2,1,2,5,90
11/13/2020,95,4,96,4,96,1,1,2,2,94,0,1,1,5,93
11/14/2020,96,7,93,5,95,1,1,0,4,94,2,0,2,5,91
11/15/2020,84,6,94,4,96,1,0,1,4,94,0,1,1,5,93
11/16/2020,86,7,93,4,96,0,1,1,4,94,1,0,0,3,96
11/17/2020,83,5,95,4,96,0,0,0,2,98,1,1,2,2,94
11/18/2020,94,7,93,5,95,0,1,0,2,97,2,1,2,4,91
11/19/2020,80,5,95,7,93,0,1,2,4,93,0,1,2,3,94
11/20/2020,90,4,96,4,96,2,0,0,3,95,2,0,0,5,93
11/21/2020,94,6,94,6,94,0,1,1,4,94,2,0,1,2,95
11/22/2020,91,4,96,5,95,1,0,1,5,93,1,0,0,2,97
11/23/2020,92,7,93,5,95,2,0,0,3,95,1,1,2,3,93
11/24/2020,83,4,96,7,93,2,0,0,4,94,2,0,1,2,95
11/25/2020,88,4,96,4,96,2,0,2,5,91,2,1,2,4,91
11/26/2020,82,4,96,6,94,1,1,2,3,93,1,0,1,2,96
11/27/2020,93,4,96,6,94,0,0,0,3,97,0,1,0,3,96
11/28/2020,94,4,96,4,96,0,1,2,3,94,0,0,0,5,95
11/29/2020,95,7,93,7,93,0,1,0,3,96,2,0,1,3,94
11/30/2020,89,6,94,5,95,1,0,2,3,94,0,0,2,4,94
12/1/2020,81,7,93,4,96,1,1,0,2,96,0,0,0,4,96
12/2/2020,81,7,93,5,95,2,0,0,4,94,2,0,2,2,94
12/3/2020,84,4,96,6,94,0,0,1,2,97,1,1,1,2,95
12/4/2020,83,4,96,7,93,2,1,1,2,94,0,1,0,5,94
12/5/2020,84,6,94,5,95,1,1,2,3,93,1,0,0,4,95
12/6/2020,93,5,95,7,93,1,0,1,3,95,1,1,1,2,95
12/7/2020,80,4,96,5,95,0,1,2,2,95,1,1,2,2,94
12/8/2020,94,7,93,4,96,2,0,1,4,93,0,0,1,3,96
12/9/2020,84,5,95,4,96,0,0,2,4,94,2,0,1,2,95
12/10/2020,87,4,96,6,94,1,0,1,2,96,2,0,0,5,93
12/11/2020,92,4,96,4,96,2,0,1,5,92,1,0,1,2,96
12/12/2020,80,7,93,6,94,1,0,2,3,94,0,0,2,2,96
12/13/2020,83,4,96,7,93,0,1,1,2,96,0,1,1,4,94
12/14/2020,96,5,95,6,94,2,1,2,2,93,1,0,1,2,96
12/15/2020,86,4,96,5,95,1,1,2,3,93,2,0,2,2,94
12/16/2020,80,7,93,4,96,1,1,0,2,96,0,0,0,3,97
12/17/2020,86,5,95,7,93,2,1,1,4,92,2,1,0,4,93
